Brand,Model,Year,Engine CC,Power (BHP),Mileage (kmpl),Kms Driven,Fuel Type,Bike Type,Condition,Transmission,Owner Type,Price
BMW,S1000RR,2005,500,32.2,54.2,82846,Petrol,Naked,Like New,Automatic,1st Owner,315331.95
Suzuki,V-Strom,2020,180,26.7,67.7,60488,Electric,Commuter,New,Automatic,1st Owner,46051.03
Ducati,SuperSport,2020,300,21.7,20.8,113502,Petrol,Scooter,Used,Automatic,2nd Owner,128036.55
Harley-Davidson,Road King,2015,180,18.6,40.3,68562,Petrol,Sport,Like New,Automatic,1st Owner,121554.51
Royal Enfield,Himalayan,2008,125,13.1,38.6,94565,Petrol,Scooter,Used,Automatic,2nd Owner,11057.09
TVS,Ntorq 125,2013,110,14.1,25.3,105501,Petrol,Commuter,New,Manual,3rd Owner,8000.0
Kawasaki,Versys 650,2016,650,48.0,64.4,59472,Petrol,Cruiser,Used,Manual,3rd Owner,127110.37
Royal Enfield,Meteor 350,2008,100,16.0,57.3,74119,Petrol,Cruiser,Like New,Automatic,1st Owner,8000.0
Harley-Davidson,Fat Boy,2008,160,15.2,59.1,58841,Petrol,Scooter,Used,Automatic,3rd Owner,29958.61
Royal Enfield,Meteor 350,2010,500,58.6,44.4,18702,Petrol,Adventure,New,Automatic,3rd Owner,193403.98
Suzuki,Intruder,2007,125,19.7,43.4,69403,Petrol,Adventure,Like New,Manual,1st Owner,8000.0
KTM,RC 390,2009,1250,95.6,41.5,57204,Petrol,Sport,New,Manual,2nd Owner,498407.06
BMW,G310GS,2014,125,15.5,33.1,16906,Petrol,Naked,Like New,Manual,3rd Owner,61231.99
Suzuki,Intruder,2024,390,48.8,56.1,4218,Petrol,Scooter,Like New,Automatic,2nd Owner,106876.44
Honda,CBR 650R,2022,350,23.1,51.1,106320,Petrol,Cruiser,Used,Manual,3rd Owner,52120.41
Kawasaki,Versys 650,2024,160,18.6,37.3,113323,Petrol,Adventure,New,Automatic,3rd Owner,52657.31
Royal Enfield,Thunderbird,2012,160,21.8,26.7,81158,Petrol,Commuter,Used,Automatic,1st Owner,24770.89
Harley-Davidson,Street 750,2020,100,10.9,25.4,32052,Petrol,Cruiser,New,Manual,2nd Owner,88047.93
Harley-Davidson,Street 750,2022,100,6.5,60.2,95855,Petrol,Adventure,Used,Manual,2nd Owner,40096.52
Royal Enfield,Classic 350,2017,1084,105.5,25.9,82189,Petrol,Sport,New,Manual,2nd Owner,533966.88
BMW,F850GS,2011,1084,130.8,29.6,94031,Petrol,Adventure,Like New,Automatic,1st Owner,669678.3
TVS,Jupiter,2010,650,75.6,64.6,44589,Petrol,Naked,Like New,Automatic,3rd Owner,119153.16
BMW,G310R,2018,1340,185.3,25.2,82978,Electric,Adventure,Used,Automatic,3rd Owner,707555.52
Honda,Africa Twin,2020,180,21.1,47.6,50332,Petrol,Scooter,New,Automatic,1st Owner,41336.96
Harley-Davidson,Street 750,2018,160,20.9,44.3,80647,Petrol,Scooter,Like New,Automatic,1st Owner,99421.89
Harley-Davidson,Sportster,2017,390,54.7,63.4,72101,Petrol,Scooter,Like New,Automatic,3rd Owner,211993.66
Kawasaki,Versys 650,2022,350,32.1,33.5,38380,Petrol,Scooter,Like New,Automatic,2nd Owner,114746.31
Royal Enfield,Himalayan,2008,1340,208.4,32.6,107766,Petrol,Commuter,Used,Manual,2nd Owner,379195.98
Royal Enfield,Thunderbird,2011,200,13.0,62.9,36101,Petrol,Naked,Like New,Manual,1st Owner,54826.9
Kawasaki,Ninja 300,2008,750,94.0,25.8,18518,Electric,Naked,New,Automatic,2nd Owner,361962.0
Kawasaki,Versys 650,2015,350,53.0,53.1,75752,Petrol,Scooter,Like New,Automatic,1st Owner,99233.69
Suzuki,Gixxer,2017,1000,88.5,19.3,38441,Petrol,Sport,Used,Manual,2nd Owner,174408.31
Harley-Davidson,Fat Boy,2021,883,118.0,26.4,96329,Petrol,Cruiser,Like New,Manual,1st Owner,642499.7
Kawasaki,Z900,2024,650,39.4,55.3,88220,Petrol,Commuter,Used,Automatic,1st Owner,141324.98
Royal Enfield,Himalayan,2014,1340,121.5,45.4,91302,Petrol,Scooter,New,Automatic,2nd Owner,508276.96
Royal Enfield,Classic 350,2014,500,57.5,48.5,20578,Petrol,Naked,Used,Automatic,3rd Owner,123355.25
Kawasaki,Z900,2024,125,14.2,46.6,74446,Petrol,Naked,Like New,Manual,3rd Owner,37113.96
Harley-Davidson,Iron 883,2011,1340,88.1,32.0,7792,Petrol,Naked,Used,Automatic,3rd Owner,616032.39
Honda,CBR 650R,2013,100,6.3,60.0,45658,Petrol,Naked,New,Manual,2nd Owner,8000.0
Ducati,Multistrada,2017,883,68.7,57.7,89986,Petrol,Naked,New,Automatic,1st Owner,628152.82
Kawasaki,Ninja 300,2005,350,30.6,42.3,50212,Petrol,Commuter,Used,Automatic,1st Owner,80149.94
Yamaha,FZ-S,2018,100,13.4,39.2,59015,Petrol,Scooter,New,Automatic,1st Owner,26104.67
Kawasaki,Ninja 300,2009,1084,97.8,59.1,76011,Petrol,Naked,Like New,Automatic,1st Owner,326989.21
Kawasaki,Ninja ZX-10R,2014,300,32.9,29.4,119982,Petrol,Scooter,Used,Automatic,3rd Owner,89819.22
Ducati,SuperSport,2015,750,113.6,33.6,71007,Petrol,Commuter,Used,Manual,2nd Owner,457767.01
KTM,Duke 125,2009,650,56.5,28.6,59454,Petrol,Sport,Like New,Manual,1st Owner,238539.93
Yamaha,R15,2023,1250,89.7,18.8,40239,Petrol,Sport,New,Manual,3rd Owner,729000.94
Kawasaki,W175,2011,650,56.0,56.1,50394,Petrol,Scooter,Used,Automatic,2nd Owner,139911.53
Yamaha,FZS-Fi,2015,200,15.0,37.2,29502,Petrol,Sport,Used,Automatic,2nd Owner,30234.23
Kawasaki,Ninja ZX-10R,2022,390,28.9,35.4,84608,Petrol,Adventure,New,Automatic,1st Owner,125073.9
KTM,Duke 200,2021,110,14.4,70.2,6858,Petrol,Adventure,New,Manual,1st Owner,31762.68
BMW,G310R,2024,1000,113.6,46.6,54414,Electric,Naked,Like New,Automatic,2nd Owner,572269.49
Ducati,Panigale V2,2008,150,23.4,49.2,33584,Petrol,Cruiser,Used,Manual,2nd Owner,46029.23
Kawasaki,Versys 650,2007,110,12.1,25.3,7855,Petrol,Scooter,New,Automatic,1st Owner,8000.0
TVS,Apache RTR 160,2021,110,12.8,38.6,74789,Petrol,Sport,New,Automatic,3rd Owner,17707.51
BMW,G310R,2011,1340,200.5,15.0,10584,Petrol,Naked,New,Automatic,3rd Owner,846451.45
Suzuki,Gixxer,2021,500,31.5,15.0,45142,Petrol,Naked,Like New,Automatic,2nd Owner,107734.89
Harley-Davidson,Fat Boy,2016,1250,84.2,49.2,87095,Petrol,Naked,Used,Manual,3rd Owner,468766.52
Suzuki,V-Strom,2015,500,51.5,25.4,47675,Petrol,Sport,New,Manual,1st Owner,129550.73
Yamaha,FZ-S,2007,500,66.2,40.9,113709,Petrol,Cruiser,Used,Automatic,1st Owner,126485.3
Kawasaki,W175,2021,180,18.4,57.7,35680,Petrol,Sport,New,Automatic,2nd Owner,68270.11
Royal Enfield,Meteor 350,2020,200,18.7,45.1,52364,Petrol,Naked,Used,Automatic,2nd Owner,60460.26
TVS,Apache RTR 200,2014,390,53.9,48.2,23783,Petrol,Cruiser,Used,Automatic,3rd Owner,49215.4
Ducati,Multistrada,2008,1340,108.5,16.8,101113,Petrol,Scooter,Used,Automatic,3rd Owner,795758.57
Yamaha,FZS-Fi,2020,160,17.3,54.5,94247,Petrol,Adventure,New,Automatic,3rd Owner,57266.82
Ducati,SuperSport,2006,500,62.3,54.1,11638,Petrol,Commuter,Like New,Automatic,1st Owner,200531.8
Ducati,Multistrada,2018,150,15.7,23.1,68499,Petrol,Scooter,Like New,Automatic,1st Owner,85048.66
TVS,Raider 125,2009,500,45.6,64.9,11753,Petrol,Scooter,New,Automatic,2nd Owner,103341.28
Harley-Davidson,Street 750,2020,150,21.7,43.8,39856,Electric,Scooter,New,Automatic,1st Owner,112923.95
Suzuki,Access 125,2021,180,22.3,48.4,61062,Petrol,Adventure,Like New,Manual,1st Owner,37379.03
TVS,Apache RTR 200,2019,1340,105.5,28.5,36983,Petrol,Sport,Like New,Manual,3rd Owner,282640.11
Royal Enfield,Thunderbird,2021,390,50.9,45.9,46103,Petrol,Adventure,Like New,Manual,3rd Owner,120008.6
Yamaha,R15,2015,150,14.8,36.8,19028,Petrol,Adventure,Like New,Manual,3rd Owner,26872.65
Suzuki,Intruder,2010,1000,73.7,26.7,81687,Electric,Cruiser,New,Automatic,2nd Owner,318843.84
KTM,Adventure 390,2018,1000,82.5,32.6,11335,Petrol,Commuter,Used,Manual,2nd Owner,224514.29
TVS,Ntorq 125,2022,1084,88.7,18.3,108409,Petrol,Naked,New,Automatic,3rd Owner,318909.8
Kawasaki,Versys 650,2006,883,106.9,25.7,113915,Petrol,Commuter,New,Automatic,3rd Owner,323072.98
Kawasaki,Z900,2006,1340,212.5,21.7,42921,Petrol,Cruiser,Used,Automatic,3rd Owner,359268.97
Ducati,Monster,2013,160,11.9,58.8,42717,Petrol,Scooter,Used,Automatic,2nd Owner,65549.34
Ducati,Scrambler,2007,125,8.7,43.3,115491,Petrol,Adventure,Used,Manual,3rd Owner,40185.81
BMW,G310R,2022,650,94.4,24.3,35697,Petrol,Cruiser,Used,Manual,3rd Owner,436909.29
Honda,CB Shine,2008,883,133.3,15.0,60336,Electric,Adventure,New,Automatic,3rd Owner,284577.2
Royal Enfield,Classic 350,2016,300,37.7,22.4,7287,Petrol,Cruiser,Like New,Manual,2nd Owner,89450.58
Harley-Davidson,Iron 883,2009,1340,89.9,16.0,91673,Petrol,Sport,Used,Manual,2nd Owner,584091.9
Yamaha,FZ-S,2015,500,33.4,64.9,99217,Petrol,Scooter,Like New,Automatic,1st Owner,167650.57
Suzuki,V-Strom,2016,200,27.0,55.2,90489,Petrol,Commuter,New,Manual,1st Owner,45681.79
Ducati,Multistrada,2009,250,36.9,38.4,79144,Petrol,Cruiser,Like New,Manual,3rd Owner,112045.42
Kawasaki,Ninja ZX-10R,2014,110,16.4,63.1,51078,Petrol,Adventure,Like New,Manual,3rd Owner,9222.79
BMW,F850GS,2017,1340,115.5,24.2,62236,Petrol,Sport,New,Manual,1st Owner,673323.49
Ducati,SuperSport,2014,1084,98.6,44.4,84456,Petrol,Naked,New,Automatic,1st Owner,802328.37
Suzuki,Intruder,2015,650,101.0,44.9,84799,Petrol,Scooter,Used,Automatic,3rd Owner,87923.02
Ducati,Monster,2019,110,8.4,38.6,16155,Electric,Commuter,Like New,Automatic,1st Owner,68074.09
Royal Enfield,Meteor 350,2016,160,18.0,63.5,15973,Petrol,Sport,Used,Automatic,2nd Owner,27381.38
Yamaha,FZS-Fi,2019,1084,145.3,22.9,48693,Petrol,Sport,Like New,Manual,1st Owner,320398.51
Honda,CB Hornet,2006,1000,101.9,29.9,112892,Electric,Scooter,Like New,Automatic,3rd Owner,186997.7
BMW,S1000RR,2007,1340,197.9,17.1,24007,Petrol,Naked,New,Automatic,1st Owner,1277168.73
Royal Enfield,Himalayan,2007,1250,149.0,27.4,103326,Petrol,Naked,New,Automatic,2nd Owner,536183.33
Kawasaki,W175,2012,160,9.6,21.1,45906,Petrol,Scooter,New,Automatic,2nd Owner,38457.31
Royal Enfield,Classic 350,2011,1084,109.8,51.2,19161,Petrol,Sport,New,Manual,3rd Owner,566300.95
Yamaha,YZF R1,2008,1084,96.7,15.9,74925,Petrol,Scooter,New,Automatic,1st Owner,496153.96
Ducati,Multistrada,2015,883,92.7,27.2,102727,Petrol,Sport,New,Manual,1st Owner,569900.93
BMW,F850GS,2019,350,22.4,43.7,106353,Petrol,Scooter,Like New,Automatic,3rd Owner,233209.31
Yamaha,R15,2016,650,87.6,39.9,23289,Electric,Adventure,Used,Automatic,3rd Owner,138029.87
Suzuki,Gixxer,2005,110,7.5,66.4,108460,Petrol,Scooter,Like New,Automatic,3rd Owner,8000.0
Yamaha,FZ-S,2007,200,13.0,65.6,119130,Petrol,Cruiser,New,Manual,2nd Owner,50752.43
Ducati,Scrambler,2005,650,79.2,50.4,25030,Petrol,Adventure,New,Manual,3rd Owner,393045.06
Ducati,SuperSport,2020,110,15.2,25.4,84733,Petrol,Naked,New,Manual,2nd Owner,70266.68
Harley-Davidson,Street 750,2023,1084,103.8,24.7,78765,Petrol,Cruiser,New,Automatic,3rd Owner,853758.26
Suzuki,Gixxer,2012,250,38.4,37.3,7828,Petrol,Commuter,Like New,Automatic,2nd Owner,46602.95
Kawasaki,W175,2015,500,45.5,67.8,74903,Petrol,Naked,New,Automatic,3rd Owner,180068.78
Kawasaki,W175,2012,100,6.6,56.5,26906,Petrol,Cruiser,Like New,Manual,2nd Owner,8000.0
Suzuki,Gixxer,2021,500,78.8,60.5,52351,Petrol,Cruiser,Used,Automatic,1st Owner,117711.56
Harley-Davidson,Street 750,2010,1250,161.1,45.7,29760,Petrol,Commuter,Used,Automatic,3rd Owner,469096.03
TVS,Ntorq 125,2023,110,10.2,30.2,80634,Petrol,Naked,New,Automatic,1st Owner,23570.42
BMW,F850GS,2007,390,38.5,41.3,9385,Petrol,Sport,Like New,Manual,1st Owner,281454.03
Ducati,Scrambler,2017,500,52.6,47.6,113752,Petrol,Scooter,New,Automatic,1st Owner,432777.79
Honda,Activa,2013,150,9.5,27.9,96442,Petrol,Sport,Used,Automatic,3rd Owner,8000.0
Ducati,Panigale V2,2006,150,18.9,42.3,73128,Petrol,Scooter,Like New,Automatic,2nd Owner,42358.4
Ducati,SuperSport,2022,1000,80.0,15.6,39107,Petrol,Scooter,Like New,Automatic,2nd Owner,440591.76
Royal Enfield,Classic 350,2020,150,11.8,35.4,87143,Petrol,Scooter,Like New,Automatic,2nd Owner,51496.15
Harley-Davidson,Iron 883,2013,883,60.5,35.4,8579,Petrol,Scooter,Like New,Automatic,1st Owner,500480.81
TVS,Apache RTR 200,2022,110,9.9,66.7,70690,Petrol,Adventure,Like New,Manual,2nd Owner,18719.55
Honda,Africa Twin,2023,1084,152.7,46.9,16265,Petrol,Adventure,New,Manual,1st Owner,283416.79
Ducati,Panigale V2,2009,300,33.6,35.7,11906,Petrol,Adventure,Like New,Automatic,2nd Owner,169212.78
TVS,Raider 125,2021,750,110.1,21.7,76872,Petrol,Sport,New,Manual,2nd Owner,301860.0
Royal Enfield,Thunderbird,2020,1340,85.6,37.7,19355,Petrol,Scooter,Like New,Automatic,2nd Owner,526273.19
Kawasaki,Ninja 300,2020,300,22.0,70.8,40222,Petrol,Adventure,Like New,Manual,1st Owner,118974.52
BMW,S1000RR,2018,125,17.4,33.9,97617,Petrol,Naked,Used,Manual,3rd Owner,40522.68
Ducati,Panigale V2,2021,1340,203.4,15.0,110204,Electric,Sport,Used,Automatic,1st Owner,751007.63
Harley-Davidson,Sportster,2017,150,11.5,57.0,58971,Petrol,Adventure,Like New,Automatic,2nd Owner,111828.46
Yamaha,MT-15,2005,650,52.4,20.9,28591,Petrol,Scooter,New,Automatic,3rd Owner,216314.82
Honda,CBR 650R,2009,180,15.8,54.6,106024,Petrol,Scooter,Like New,Automatic,3rd Owner,15322.88
Harley-Davidson,Street 750,2011,883,110.1,22.7,77109,Petrol,Naked,Like New,Automatic,3rd Owner,560817.49
Yamaha,FZS-Fi,2007,390,29.2,64.8,34729,Petrol,Scooter,Used,Automatic,1st Owner,87134.28
TVS,Ntorq 125,2015,160,20.9,52.9,34503,Petrol,Adventure,Used,Manual,3rd Owner,12038.02
Kawasaki,W175,2020,500,67.0,46.1,115383,Petrol,Cruiser,New,Automatic,1st Owner,211480.94
Suzuki,Hayabusa,2007,250,36.3,38.9,103796,Petrol,Cruiser,Used,Automatic,2nd Owner,22871.21
TVS,Raider 125,2024,125,9.2,47.3,89720,Petrol,Cruiser,Used,Manual,1st Owner,15156.87
